pc_pxcode;pc_order_child;pc_pxname;pc_pxcode_loinc;pc_pxcode_loinc_display;pc_pxcode_speciment_code;pc_pxcode_speciment_name;pc_unit;pc_normal;pc_min_normal;pc_max_normal;pc_min_l;pc_max_l;pc_min_p;pc_max_p;pc_normal_l;pc_normal_p;pc_barcode;pc_remarks;pc_method
K035104;;Glukosa;;;;;;TRANSUDAT = Kadar di serum;;;;;;;;;;; 
K035105;;;;;;;;EKSUDAT  : 300 mg/ lebih < Kadar Serum;;;;;;;;;;; 
K035106;;Protein;;;;;;TRANSUDAT < 3gr / dL;;;;;;;;;;; 
K035107;;;;;;;;EKSUDAT  : >3 gr/dL;;;;;;;;;;; 
K0352;;Vitamin D;;;;;ng/ml;Defisiensi : < 20<BR>Insufisiensi : 20 - 29<BR>Sufficient : 30 - 100<BR>Potential Toxicity :<BR>> 100;;;;;;;;;;;FIA 
K0353;;Vitamin D;;;;;;;;;;;;;;;;; 
K0354;;;;;;;;;;;;;;;;;;; 
K0355;;;;;;;;;;;;;;;;;;; 
K0356;;eGFR;;;;;;>= 60;60;;;;;;;;K;;CKD-EPI 
K0357;;Procalcitonin;;;;;;;;;;;;;;;K;; 
K0358;;C-Peptide;;;;;ng/ml;1.1 - 4.4;1.1;4.4;;;;;;;K;;ECLIA 
K0359;;Fosfor Anorganik;;;;;;2.7 - 4.5;2.7;4.5;;;;;;;K;; 
K0360;;FSH;;;;;;;;;;;;;;;;; 
K0361;;percobaan;;;;;;;;;;;;;;;;; 
M0101;;Kultur Gal;;;;;;;;;;;;;;;;Janji :5 hari; 
M0102;;Kultur BTA;;;;;;;;;;;;;;;;Janji :3 Bulan; 
M0103;;Kultur GO;;;;;;;;;;;;;;;;Janji :5 hari; 
M0104;;Kultur Diphteri;;;;;;;;;;;;;;;;Janji :5 hari; 
M0105;;Kultur Fungi;;;;;;;;;;;;;;;;Janji :5 hari; 
M0107;;Uji Resistensi;;;;;;;;;;;;;;;;Janji :; 
M0108;;Kultur Anaerob;;;;;;;;;;;;;;;;Janji :5 hari; 
M0109;;Preparat Gram;;;;;;;;;;;;;;;;Janji :1 hari; 
M0110;;Preparat BTA;;;;;;;;;;;;;;;;Janji :2 hari; 
M011001;;Sputum Sewaktu ;;;;;;Negatif;;;;;;;;;;; 
M011002;;Sputum Pagi;;;;;;Negatif;;;;;;;;;;; 
M011003;;Sputum Sewaktu;;;;;;Negatif;;;;;;;;;;; 
M0111;;Preparat GO;;;;;;;;;;;;;;;;Janji :1 hari; 
M0112;;Preparat Diphteri;;;;;;;;;;;;;;;;Janji :2 hari; 
M0113;;Preparat Fungi;;;;;;;;;;;;;;;;Janji :1 hari; 
M0114;;Preparat Trichomonas;;;;;;;;;;;;;;;;Janji :1 hari; 
M0115;;Preparat Candida;;;;;;;;;;;;;;;;Janji :1 hari; 
M0116;;Preparat Chlamydia;;;;;;;;;;;;;;;;Janji :; 
M0117;;Kultur Urine;;;;;;;;;;;;;;;;Janji :5 hari; 
M0118;;Kultur Faeces;;;;;;;;;;;;;;;;Janji :5 hari; 
M0119;;Kultur Darah;;;;;;;;;;;;;;;;Janji :5 hari; 
M0120;;Kultur Gall;;;;;;;;;;;;;;;;Janji :5 hari; 
M0121;;Kultur Sputum;;;;;;;;;;;;;;;;Janji :5 hari; 
M0122;;Malaria;;;;;;;;;;;;;;;;Janji :1 hari; 
M0123;;Trichomonas;;;;;;;;;;;;;;;;Janji :; 
M0124;;Kultur Cholera;;;;;;;;;;;;;;;;; 
M0125;;Kultur Pus;;;;;;;;;;;;;;;;; 
M0126;;Preparat BTA;;;;;;;;;;;;;;;;; 
M012601;;Sputum Sewaktu;;;;;;;;;;;;;;;;; 
M0127;;FNAB;;;;;;;;;;;;;;;;; 
M0128;;Ritz Serum;;;;;;;;;;;;;;;;; 
M0130;;Kultur MO;;;;;;;;;;;;;;;;; 
M0131;;BTA 1 seri;;;;;;;;;;;;;;;;; 
M0132;;BTA sputum pagi;;;;;;;;;;;;;;;;; 
M0133;;Preparat BTA;;;;;;;;;;;;;;;;; 
M013301;;Sputum Sewaktu;;;;;;Negatif;;;;;;;;;;; 
M013302;;Sputum Pagi;;;;;;Negatif;;;;;;;;;;; 
M0134;;Preparat BTA;;;;;;;;;;;;;;;;; 
M013401;;Pus;;;;;;;;;;;;;;;;; 
M0136;;Preparat BTA;;;;;;;;;;;;;;;;; 
M013601;;Reitz Serum;;;;;;;;;;;;;;;;; 
M01360101;;Cuping Telinga;;;;;;;;;;;;;;;;; 
M01360102;;Mukosa Hidung;;;;;;;;;;;;;;;;; 
M01360103;;Lesi Tangan;;;;;;;;;;;;;;;;; 
M0137;;DIPTHERI;;;;;;;;;;;;;;;;; 
M013701;;Pewarnaan Diptheri;;;;;;;;;;;;;;;;; 
M013702;;Pewarnaan Gram;;;;;;;;;;;;;;;;; 
M0138;;Kultur Cairan CAPD;;;;;;;;;;;;;;;;; 
M0139;;Sitologi Sputum;;;;;;;;;;;;;;;;; 
M0140;;Kultur Darah 2;;;;;;;;;;;;;;;;; 
M0141;;Kultur Cairan Sendi;;;;;;;;;;;;;;;;; 
M0142;;Preparat MO;;;;;;;;;;;;;;;;; 
M0143;;kultur ujung kanul;;;;;;;;;;;;;;;;; 
M0144;;;;;;;;;;;;;;;;;;; 
M0145;;Rectal Swab;;;;;;;;;;;;;;;;; 
M0146;;Kultur Cairan Pleura;;;;;;;;;;;;;;;;; 
M0147;;;;;;;;;;;;;;;;;;; 
M0148;;IGRA;;;;;;;;;;;;;;;;; 
M0149;;Kultur Sekret Vagina;;;;;;;;;;;;;;;;; 
M0150;;Pengecatan slide Difteri;;;;;;;;;;;;;;;M;; 
P0101;;Dengue Test IgG;"
  100964-6";"
  Dengue
  virus IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"; 119364003; Serum specimen ;;Negatif;;;;;;;;;P;Janji :1 jam; 
P0102;;Dengue Test IgM;"
  25338-5";"
  Dengue
  virus IgM Ab [Presence] in Serum"; 119364003; Serum specimen ;;Negatif;;;;;;;;;P;Janji :1 jam; 
P0103;;Helicobacter Pylori;;;;;;Negatif;;;;;;;;;P;Janji :2 hari; 
P0104;;ICT Malaria;;;;;;Negatif;;;;;;;;;P;Janji :1 hari; 
P0105;;ICT TB;;;;;;Negatif;;;;;;;;;P;tidak dipakai; 
P0106;;IgM Salmonella (SPOT Typhi);;;;;;Negatif;;;;;;;;;P;Janji :1 jam; 
P0107;;RT PCR Covid-19;;;;;;;;;;;;;;;;; 
P010701;;Jenis Sampel;;;;;;;;;;;;;;;;; 
P010702;;SARS-CoV-2 Gene RdRp;;;;;;Negatif >= 40.00;;;;;;;;;;; RT-PCR 
P010703;;SARS-CoV-2 Gene ORF 1ab;;;;;;Negatif >= 40.00;;;;;;;;;;; RT-PCR 
P010704;;Interpretasi;;;;;;;;;;;;;;;;; 
P0108;;SARS-CoV-2 RNA;;;;;;Negatif;;;;;;;;;;TIDAK TERPAKAI; RT-PCR Gen Terdeteksi Orf1ab 
P0109;;SARS-CoV-2 RNA;;;;;;Negatif; ;;;;;;;;P;; 
P010901;;;;;;;;;;;;;;;;;;; 
P010902;; ;;;;;;;;;;;;;;;;; 
P010903;; ;;;;;;;;;;;;;;;;; 
P010904;; ;;;;;;;;;;;;;;;;; 
P010905;; ;;;;;;;;;;;;;;;;; 
P010906;;Keterangan;;;;;;<b>Catatan :</b> <br>Hasil <b>Negatif</b> menunjukkan bahwa tidak terdeteksi adanya RNA Virus SARS-CoV-2.<br>Mohon evaluasi klinis, Riwayat pasien dan informasi pemeriksaan penunjang medis lainnya untuk dapatmenginterpretasikan status pasien.<br><b>Saran</b>:<br>Lakukan Protokol Kesehatan dengan benar dan tepat.;;;;;;;;;;; 
P010907;;Keterangan;;;;;;<b>Catatan</b> : <br> Hasil <b>Positif</b> menunjukkan bahwa terdeteksi adanya RNA Virus SARS-CoV-2.<br>Mohon evaluasi klinis, Riwayat pasien dan informasi pemeriksaan penunjang medis lainnya untuk dapatmenginterpretasikan status pasien.<br><b>Saran:</b><br>Silahkan melakukan konsultasi lebih lanjut ke dokter.<br>Lakukan Protokol Kesehatan dengan benar dan tepat.;;;;;;;;;;; 
P0110;;PCR - Covid-19;;;;;;;;;;;;;;;P;; 
P011001;;Jenis Sampel;;;;;;;;;;;;;;;;; 
P011002;;SARS-CoV-2 Gene RdRp;;;;;;Negatif >=40.00;;;;;;;;;;; 
P011003;;SARS-CoV-2 Gene ORF 1ab;;;;;;Negatif >=40.00;;;;;;;;;;; 
P011004;;Interpretasi;;;;;;<BR><BR><BR><BR><BR><BR><BR><BR><BR>;;;;;;;;;;; 
P011005;;Saran :;;;;;;;;;;;;;;;;; 
P01100501;;;;;;;;1. Segera Konsultasi ke Dokter/Faskes/Puskesmas/RS/Klinik;;;;;;;;;;; 
P01100502;;;;;;;;2. Wajib Isolasi Mandiri/Terpusat;;;;;;;;;;; 
P01100503;;;;;;;;3. Tidak melakukan perjalanan/bepergian, kecuali melakukan pemeriksaan ke RS/Faskes;;;;;;;;;;; 
P01100504;;;;;;;;4. Menerapkan Protokol Kesehatan 3M(mencuci tangan,menggunakan masker dan menjaga jarak);;;;;;;;;;; 
P011006;;Saran :;;;;;;;;;;;;;;;;; 
P01100601;;;;;;;;Tetap menerapkan Protokol Kesehatan 5M(Memakai Masker,Menjaga Jarak,Mencuci Tangan, Menghindari Kerumunan, dan Mengurangi Mobilitas);;;;;;;;;;; 
P01100602;;;;;;;;;;;;;;;;;;; 
P0111;;RT PCR Covid-19;;;;;;;;;;;;;;;;; 
R0101;;Ankle;;;;;;;;;;;;;;;;Janji :; 
R0104;;BOF/BNO;;;;;;;;;;;;;;;;Janji :; 
R0105;;Basis Crani;;;;;;;;;;;;;;;;Janji :; 
R0110;;Cervical AP /  Lat;;;;;;;;;;;;;;;;Janji :; 
R0113;;Clavicula;;;;;;;;;;;;;;;;Janji :; 
R0114;;Cruris;;;;;;;;;;;;;;;;Janji :; 
R0119;;Genu;;;;;;;;;;;;;;;;Janji :; 
R0120;;Humerus Dex AP/LAT;;;;;;;;;;;;;;;;Janji :; 
R0122;;Lumbosacral AP/LAT;;;;;;;;;;;;;;;;Janji :; 
R0123;;Mandibula AP;;;;;;;;;;;;;;;;Janji :; 
R0124;;Manus;;;;;;;;;;;;;;;;Janji :; 
R0127;;Pelvis A.P;;;;;;;;;;;;;;;;Janji :; 
R0134;;Shoulder Dex;;;;;;;;;;;;;;;;Janji :; 
R0137;;Spot Nasal Lat;;;;;;;;;;;;;;;;Janji :; 
R0144;;Thorax AP;;;;;;;;;;;;;;;;Janji :; 
R0167;;Sinus paranasalis;;;;;;;;;;;;;;;;; 
R0170;;Thoraco Lumbalis AP/LAT;;;;;;;;;;;;;;;;; 
R0181;;ARTC.Cubiti;;;;;;;;;;;;;;;;; 
R0186;;Abdomen 3 Posisi;;;;;;;;;;;;;;;;; 
R0187;;Coccyx;;;;;;;;;;;;;;;;; 
R0188;;Elbow Joint D/S;;;;;;;;;;;;;;;;; 
R0189;;Femur D/S;;;;;;;;;;;;;;;;; 
R0190;;Gigi;;;;;;;;;;;;;;;;; 
R0191;;Thorax PA;;;;;;;;;;;;;;;;; 
R0192;;Thorax AP Lat;;;;;;;;;;;;;;;;; 
R0193;;Tes;;;;;;;;;;;;;;;;; 
R0195;;2 Gigi;;;;;;;;;;;;;;;;; 
R0196;;3 Gigi;;;;;;;;;;;;;;;;; 
R0197;;4 Gigi;;;;;;;;;;;;;;;;; 
R0198;;Pedis;;;;;;;;;;;;;;;;; 
R0199;;Abdomen;;;;;;;;;;;;;;;;; 
R0201;;Wrist Joint;;;;;;;;;;;;;;;;; 
R0202;;Antebrachi;;;;;;;;;;;;;;;;; 
R0203;;Cranium;;;;;;;;;;;;;;;;; 
R0204;;Nasal;;;;;;;;;;;;;;;;; 
R0205;;Elbow;;;;;;;;;;;;;;;;; 
R0206;;Vert. Lumbal;;;;;;;;;;;;;;;;; 
R0207;;Humerus Sin AP/Lat;;;;;;;;;;;;;;;;; 
R0208;;BNO;;;;;;;;;;;;;;;;; 
R0209;;HNP;;;;;;;;;;;;;;;;; 
R0210;;Scapula;;;;;;;;;;;;;;;;; 
R0211;;Genu 2;;;;;;;;;;;;;;;;; 
R0212;;sculer kanan;;;;;;;;;;;;;;;;; 
R0213;;sculer kiri;;;;;;;;;;;;;;;;; 
R0214;;Cranium AP;;;;;;;;;;;;;;;;; 
R0215;;Genu D;;;;;;;;;;;;;;;;; 
R0216;;Genu S;;;;;;;;;;;;;;;;; 
R0217;;Wrist Joint S;;;;;;;;;;;;;;;;; 
R0218;;Manus S;;;;;;;;;;;;;;;;; 
R0219;;Pelvis AP;;;;;;;;;;;;;;;;; 
R0220;;;;;;;;;;;;;;;;;;; 
R0221;;Wrist 1 posisi;;;;;;;;;;;;;;;;; 
R0222;;Thorax AP + Abdomen;;;;;;;;;;;;;;;;; 
R0223;;Waters;;;;;;;;;;;;;;;;; 
R0224;;Thorax PA+Lat;;;;;;;;;;;;;;;;; 
R0225;;;;;;;;;;;;;;;;;;; 
R0226;;pedis d+s;;;;;;;;;;;;;;;;; 
R0227;;Ankle Dextra ;;;;;;;;;;;;;;;;; 
R0228;;Ankle Sinistra ;;;;;;;;;;;;;;;;; 
R0229;;Pedis Dextra ;;;;;;;;;;;;;;;;; 
R0230;;Pedis Sinistra;;;;;;;;;;;;;;;;; 
R0231;;Cruris Dextra ;;;;;;;;;;;;;;;;; 
R0232;;Cruris Sinistra ;;;;;;;;;;;;;;;;; 
R0233;;Genu Dextra ;;;;;;;;;;;;;;;;; 
R0234;;Genu Sinistra ;;;;;;;;;;;;;;;;; 
R0235;;Manus Dextra ;;;;;;;;;;;;;;;;; 
R0236;;Manus Sinistra ;;;;;;;;;;;;;;;;; 
R0237;;Wrist Dextra ;;;;;;;;;;;;;;;;; 
R0238;;Vert. Lumbal AP;;;;;;;;;;;;;;;;; 
R0239;;Hip Joint D/S;;;;;;;;;;;;;;;;; 
R0240;;Shoulder Sin;;;;;;;;;;;;;;;;; 
R0241;;Sacrum;;;;;;;;;;;;;;;;; 
S0101;;;;;;;;;;;;;;;;;;; 
S0102;;Sperma Analisa;;;;;;;;;;;;;;;A;; 
U0101;;Urine Lengkap;;;;;;;;;;;;;;;;Janji :1 jam; 
U010101;;Warna;;;;;;Kuning;;;;;;;;;;Janji :; Makroskopis 
U010102;;Kejernihan;;;;;;Jernih;;;;;;;;;;Janji :; Makroskopis 
U010103;;PH;;;;;;5.0 - 6.5;;;5.0;6.5;5.0;6.5;;;;Janji :; Carik Celup 
U010104;;Berat Jenis;;;;;;1.025 - 1.035;;;1.025;1.035;1.025;1.035;;;;Janji :; Carik Celup 
U010105;;Nitrit;;;;;;Negatif;;;;;;;;;;Janji :; Carik Celup 
U010106;;Protein;;;;;;Negatif;;;;;;;;;;Janji :; Carik Celup 
U010107;;Glukosa;;;;;;Negatif;;;;;;;;;;Janji :; Carik Celup 
U010108;;Keton;;;;;;Negatif;;;;;;;;;;Janji :; Carik Celup 
U010109;;Urobilinogen;;;;;;Normal;;;;;;;;;;Janji :; Carik Celup 
U010110;;Bilirubin;;;;;;Negatif;;;;;;;;;;Janji :; Carik Celup 
U010111;;Darah;;;;;;Negatif;;;;;;;;;;Janji :; Carik Celup 
U010112;;Leukosit;;;;;;Negatif;;;;;;;;;;; Carik Celup 
U010113;;Sedimen;;;;;;;;;;;;;;;;Janji :; 
U01011301;;Eritrosit;;;;;;Negatif;;;0;1;0;1;;;;Janji :; Mikroskopis 
U01011302;;Leukosit;;;;;/lpb;<= 5;;;1;6;1;6;;;;Janji :; Mikroskopis 
U01011303;;Sel Epitel;;;;;/lpk;<= 10;;;0;10;0;10;;;;Janji :; Mikroskopis 
U01011304;;Silinder;;;;;;;;;;;;;;;;Janji :; Mikroskopis 
U0101130401;;Leukosit;;;;;;Negatif;;;;;;;;;;; Mikroskopis 
U0101130402;;Eritrosit;;;;;;Negatif;;;;;;;;;;; Mikroskopis 
U0101130403;;Hyaline;;;;;;Negatif;;;;;;;;;;; Mikroskopis 
U0101130404;;Granular;;;;;;Negatif;;;;;;;;;;; Mikroskopis 
U01011305;;Kristal;;;;;;Negatif;;;;;;;;;;Janji :; Mikroskopis 
U01011306;;Bakteri;;;;;;Negatif;;;;;;;;;;; Mikroskopis 
U01011307;;Lain-lain;;;;;;Negatif;;;;;;;;;;Janji :; Mikroskopis 
U0102;;Glukosa Urine;;;;;;Negatif;;;;;;;;;;Janji :1 jam;Carik Celup 
U0103;;Protein Urine;;;;;;Negatif;;;;;;;;;;Janji :1 jam;Carik Celup 
U0104;;Protein Esbach;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0105;;Bence Jones Protein;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0106;;Mikroalbumin Urine;;;;;mg/L;0 - 30;0;30;;;;;;;;Janji :1 jam; Immunoturbidimetry 
U0107;;Urobilinogen;;;;;;Negatif;;;;;;;;;;Janji :1 jam; 
U0108;;Bilirubin;"
  34543-9";"
  Bilirubin
  direct and total panel [Mass/volume] - Serum or Plasma";119364003;Serum specimen;;Negatif;;;;;;;;;;Janji :1 jam; 
U010901;;;;;;;;;;;;;;;;;;; 
U0110;;Nitrit Urine;;;;;;Negatif;;;;;;;;;;Janji :1 jam;Carik Celup 
U0111;;PH Urine;;;;;;4.8 - 7.4;;;4.8;7.4;4.8;7.4;;;;Janji :1 jam;Carik Celup 
U0112;;BJ Urine;;;;;;1.015 - 1.025;;;1.015;1.025;1.015;1.025;;;;Janji :1 jam;Carik Celup 
U0113;;Sedimen;;;;;;;;;;;;;;;;Janji :1 jam; 
U0114;;Protein Urine(Kuantitatif);;;;;;;;;;;;;;;;Janji :1 jam; 
U0115;;Magnesium;"
  19123-9";"
  Magnesium
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dL;1.6 - 2.6;1.6;2.6;;;;;;;;Janji :; 
U0116;;Elektroforesis Urine;;;;;;;;;;;;;;;;Janji :1 hari; 
U0117;;Beta HCG Latex Urine;;;;;;;;;;;;;;;;Janji :2 hari; 
U0118;;Beta HCG Test Pack Urine;;;;;;;;;;;;;;;;Janji :; 
U0119;;Beta HCG Kuant. Urine;;;;;;;;;;;;;;;;Janji :; 
U0120;;Amphetamine;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0122;;Benzodiazepine;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0123;;Oplat/Morphine;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0124;;Canabinoid;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0125;;Coccain;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0126;;Metamphetamine;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0127;;Ganja/Marijuana;;;;;;Negatif;;;;;;;;;;Janji :1 hari; 
U0128;;Darah Samar;;;;;;;;;;;;;;;;Janji :1 jam; 
U012801;;;;;;;;;;;;;;;;;;; 
U0129;;Feses Rutin;;;;;;;;;;;;;;;;Janji :2 jam; 
U0130;;Darah Samar/Bensidin;;;;;;;;;;;;;;;;Janji :1 jam; 
U0131;;Pencernaan;;;;;;;;;;;;;;;;Janji :1 jam; 
U0132;;Stercobilin;;;;;;;;;;;;;;;;Janji :1 jam; 
U0133;;pH Feses;;;;;;;;;;;;;;;;Janji :1 jam; 
U0134;;vit B12;;;;;;;;;;;;;;;;; 
U0135;;Urine Rutin;;;;;;;;;;;;;;;;; 
U0136;;Tes HCG Urine;;;;;;;;;;;;;;;;; 
U0137;;Cannabinoid;;;;;;Negative;;;;;;;;;;; 
U0139;;Opiat/Morphine;;;;;;Negatif;;;;;;;;;;; 
U0140;;Glukosa Urine 2 Jam PP;;;;;;Negatif;;;;;;;;;;;Carik Celup 
U0141;;;;;;;;;;;;;;;;;;; 
U0142;;;;;;;;;;;;;;;;;;; 
U0143;;;;;;;;;;;;;;;;;;; 
U0144;;Narkoba;;;;;;;;;;;;;;;UL;;immunochromatographic 
U014401;;Amphetamin;;;;;;;;;;;;;;;;;immunochromatographic 
U014402;;Benzodiazepine;;;;;;;;;;;;;;;;;immunochromatographic 
U014403;;Morphine;;;;;;;;;;;;;;;;;immunochromatographic 
U014404;;Coccaine;;;;;;;;;;;;;;;;;immunochromatographic 
U014405;;Metamphetamin;;;;;;;;;;;;;;;;;immunochromatographic 
U014406;;Marijuana;;;;;;;;;;;;;;;;;immunochromatographic 
U0145;;Alkohol Urine;;;;;;;;;;;;;;;UL;; 
U0146;;;;;;;;;;;;;;;;;;; 
U0147;;USG Protat;;;;;;;;;;;;;;;;; 
U0148;;;;;;;;;;;;;;;;;;; 
U0149;;USG Prostat;;;;;;;;;;;;;;;;; 
W0101;;Widal Test;;;;;0;0;;;;;;;;;W;Janji :2 jam;Agglutination 
W010101;;- S.Typhi  O;;;;;0;Negatif;;;;;;;;;W;Janji :;agglutination 
W010102;;- S.Typhi  H;;;;;0;Negatif;;;;;;;;;W;Janji :;agglutination 
W010103;;#NAME?;;;;;0;Negatif;;;;;;;;;W;Janji :;agglutination 
W010104;;#NAME?;;;;;0;Negatif;;;;;;;;;W;Janji :;agglutination 
W010105;;#NAME?;;;;;0;Negatif;;;;;;;;;W;Janji :;agglutination 
W010106;;#NAME?;;;;;0;Negatif;;;;;;;;;W;Janji :;agglutination 
W010107;;#NAME?;;;;;;Negatif;;;;;;;;;W;Janji :;agglutination 
W010108;;#NAME?;;;;;0;Negatif;;;;;;;;;W;Janji :;agglutination 
